"Total energy average price, dollars per million Btu,,,"
",,,"
"State,2021,2022,2023"
"AK,$20.03 per MMBtu,$27.33,$23.84 est."
"AL,about 17.85 USD,23.37 USD,≈21.11"
"AR,$18.42,$23.84 per MMBtu,$21.76"
"AZ,≈25.07,31.72 USD,about 30.28"
"CA,$28.44,$37.35,$35.72 per MMBtu"
"CO,20.64 USD,≈25.85,23.85"
"CT,about $25.85,$33.15,$32.32 est."
"DC,≈25.67,$30.84,about 32.28 USD"
"DE,$21.83,$27.74 per MMBtu,$26.70"
"FL,≈22.53,29.35 USD,$28.12"
"GA,$19.77,$25.51,$22.97 per MMBtu"
"HI,≈32.69 USD,44.71,$40.33 est."
"IA,about 16.39,$20.48,$18.09"
"ID,$19.34,≈23.86,22.77 USD"
"IL,$18.35 per MMBtu,about 23.98,$21.60"
"IN,$17.13,$22.01,$19.87"
"KS,≈19.06,$24.67,about $22.19"
"KY,$19.23,$25.30,$22.24 USD"
"LA,≈12.48,$15.99,about $12.42"
"MA,about 25.73,≈32.54,$31.73 per MMBtu"
"MD,$23.64,$29.98,$28.85 USD"
"ME,≈21.37,$29.77,about 28.75"
"MI,about 19.38,≈23.37,$22.37"
"MN,$18.75,$23.81,$22.18 per MMBtu"
"MO,≈20.50,$26.10,$24.70"
"MS,$18.93,about 24.15,$22.44 USD"
"MT,$20.62,$25.59,$24.05 per MMBtu"
"NC,about $20.97,≈26.13,$24.97"
"ND,≈15.59,$19.98,$18.15"
"NE,$17.53,$22.69,about $20.47"
"NH,≈25.83,$34.11,$32.28"
"NJ,≈21.79,about 27.11,$25.20 per MMBtu"
"NM,$21.40,≈27.76,$24.66"
"NV,about $21.11,≈28.94,28.58 USD"
"NY,≈22.60,29.11,$27.05"
"OH,$18.48,≈23.26,about 21.65"
"OK,≈17.41,23.62 USD,20.30"
"OR,$21.46,≈26.92,$26.55 per MMBtu"
"PA,≈19.53,25.10,about $23.67"
"RI,$25.61 per MMBtu,≈31.84,$31.52"
"SC,≈20.21,$25.37,$23.07 USD"
"SD,about $18.85,≈23.68,$21.31"
"TN,$19.57,$25.76,about 23.31"
"TX,≈16.38,about $20.78,$17.37"
"UT,$19.71,$25.03,$23.79 USD"
"VA,≈19.72,$25.57 per MMBtu,$23.81"
"VT,$25.18,≈31.81,about 29.76"
"WA,≈20.95,26.93,$26.35"
"WI,about 19.43,≈24.06,$22.70 per MMBtu"
"WV,$19.57,$25.49,$24.29"
"WY,≈17.27,21.76,about $19.69"
"US,≈19.98,$25.66,$23.59 per MMBtu"